,player,game,city,date,frame,thrown,points,cumulative
139,Don,3,Eindhoven,10-08-2018,10,34 ,7,102
140,Brunswick,3,Eindhoven,10-08-2018,1,2-,2,2
141,Brunswick,3,Eindhoven,10-08-2018,2,4-,4,6
142,Brunswick,3,Eindhoven,10-08-2018,3,7-,7,13
143,Brunswick,3,Eindhoven,10-08-2018,4,-/,16,29
144,Brunswick,3,Eindhoven,10-08-2018,5,6-,6,35
145,Brunswick,3,Eindhoven,10-08-2018,6,--,0,35
146,Brunswick,3,Eindhoven,10-08-2018,7,9/,18,53
147,Brunswick,3,Eindhoven,10-08-2018,8,81,9,62
148,Brunswick,3,Eindhoven,10-08-2018,9,8-,8,70
149,Brunswick,3,Eindhoven,10-08-2018,10,-72,9,79
150,Vlad,4,Eindhoven,10-08-2018,1,81,9,9
151,Vlad,4,Eindhoven,10-08-2018,2,7/,14,23
152,Vlad,4,Eindhoven,10-08-2018,3,4/,15,38
153,Vlad,4,Eindhoven,10-08-2018,4,54,9,47
154,Vlad,4,Eindhoven,10-08-2018,5,9-,9,56
155,Vlad,4,Eindhoven,10-08-2018,6,36,9,65
156,Vlad,4,Eindhoven,10-08-2018,7,X ,30,95
157,Vlad,4,Eindhoven,10-08-2018,8,X ,27,122
158,Vlad,4,Eindhoven,10-08-2018,9,X ,18,140
159,Vlad,4,Eindhoven,10-08-2018,10,71 ,8,148
160,Dymytry,4,Eindhoven,10-08-2018,1,9/,19,19
161,Dymytry,4,Eindhoven,10-08-2018,2,9/,19,38
162,Dymytry,4,Eindhoven,10-08-2018,3,9/,16,54
163,Dymytry,4,Eindhoven,10-08-2018,4,62,8,62
164,Dymytry,4,Eindhoven,10-08-2018,5,X ,20,82
165,Dymytry,4,Eindhoven,10-08-2018,6,6/,11,93
166,Dymytry,4,Eindhoven,10-08-2018,7,16,7,100
167,Dymytry,4,Eindhoven,10-08-2018,8,61,7,107
168,Dymytry,4,Eindhoven,10-08-2018,9,9/,18,125
169,Dymytry,4,Eindhoven,10-08-2018,10,8/7,17,142
170,Kaspareski,4,Eindhoven,10-08-2018,1,71,8,8
171,Kaspareski,4,Eindhoven,10-08-2018,2,7/,19,27
172,Kaspareski,4,Eindhoven,10-08-2018,3,9-,9,36
173,Kaspareski,4,Eindhoven,10-08-2018,4,9-,9,45
174,Kaspareski,4,Eindhoven,10-08-2018,5,X ,13,58
175,Kaspareski,4,Eindhoven,10-08-2018,6,12,3,61
176,Kaspareski,4,Eindhoven,10-08-2018,7,8/,14,75
177,Kaspareski,4,Eindhoven,10-08-2018,8,44,8,83
178,Kaspareski,4,Eindhoven,10-08-2018,9,44,8,91
